id,max,16Mar_NDVI,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,0.904687881,0.722400476,5981,4320.677246,0.076757729,0.734165013,5976,0.824642003,0.807291687,0.793413579
2,0.857494235,0.671651517,5980,4016.476074,0.125891188,0.702494144,5901,0.79923743,0.783499217,0.770775706
3,0.890366912,0.735328295,5981,4397.998535,0.070982807,0.746008158,5978,0.829907298,0.81182301,0.799962521
4,0.841813028,0.682344922,5981,4081.10498,0.089270211,0.703275681,5979,0.793882489,0.777447701,0.76575017
5,0.871150434,0.76300502,5980,4562.77002,0.042285138,0.765085459,5973,0.827934104,0.816313273,0.805923998
10,0.871807992,0.677855323,5981,4054.252686,0.089058369,0.689706385,5977,0.799437046,0.782149971,0.768808305
9,0.883760273,0.728087032,5980,4353.960449,0.065846296,0.737623692,5979,0.819086242,0.803008187,0.792592025
8,0.896130979,0.747741873,5981,4472.244141,0.057110763,0.754208863,5979,0.828766465,0.8124699,0.802626073
7,0.890737891,0.756423172,5981,4524.166992,0.054991669,0.76266259,5977,0.829711378,0.816909373,0.808650255
6,0.918793738,0.76079273,5980,4549.540527,0.04940801,0.766582727,5971,0.828654864,0.816485405,0.807938689
11,0.812763035,0.652176375,5979,3899.362549,0.091897943,0.666947126,5975,0.775025201,0.757851279,0.745868957
12,0.850495219,0.693596944,5981,4148.40332,0.080804133,0.713751376,5976,0.790357172,0.774778068,0.764643848
13,0.874712944,0.714801869,5981,4275.22998,0.075406679,0.730742276,5974,0.805608213,0.790494442,0.780894637
14,0.87852937,0.726233633,5982,4344.32959,0.069969338,0.741672158,5975,0.808691141,0.796038765,0.787952596
15,0.830204964,0.679296287,5981,4062.871094,0.088802055,0.701628685,5977,0.791154027,0.777873576,0.767303228
26,0.892574549,0.726097972,5982,4343.518066,0.07296736,0.736947536,5977,0.823531643,0.806600189,0.793088475
28,0.825491309,0.596697362,5981,3568.846924,0.112463173,0.619151175,5938,0.736142933,0.716057777,0.702708185
29,0.843201339,0.670053376,5980,4006.919189,0.084290983,0.685244262,5974,0.782754603,0.765260285,0.752971476
30,0.866303623,0.740652529,5981,4429.842773,0.061817387,0.750453353,5978,0.818316281,0.806696713,0.797729552
25,0.863397896,0.659858758,5981,3946.615234,0.108240161,0.685849965,5963,0.786326349,0.767570019,0.75550586
24,0.818773925,0.574366092,5980,3434.709229,0.133558753,0.600042701,5921,0.747945425,0.727127838,0.70911189
23,0.794165492,0.60126265,5982,3596.753174,0.112682737,0.624566913,5961,0.743249539,0.726502997,0.713103226
22,0.831281126,0.657617326,5981,3933.209229,0.08106142,0.673523545,5979,0.762623668,0.74753648,0.737361908
21,0.873432457,0.706930181,5981,4228.149414,0.060304508,0.716079831,5979,0.789236724,0.774163365,0.765185118
16,0.84229821,0.615562371,5983,3682.909668,0.115605473,0.641809762,5944,0.755312973,0.736942947,0.724122238
17,0.866943777,0.678909884,5980,4059.881104,0.088267208,0.693530083,5969,0.793066511,0.773865354,0.760605478
18,0.89239949,0.717475456,5981,4291.220703,0.083419618,0.732894599,5975,0.824555159,0.80964309,0.79751718
19,0.888749003,0.75828413,5982,4536.055664,0.044236595,0.762861073,5978,0.822062746,0.809542763,0.801109567
20,0.876091599,0.722067488,5982,4319.407715,0.066642577,0.732859492,5977,0.812884161,0.795942223,0.784069523
27,0.869192719,0.595387346,5981,3561.011719,0.157972351,0.641596138,5809,0.763582945,0.743864954,0.730006218
41,0.847204208,0.702979846,5981,4204.522461,0.057602115,0.712302148,5978,0.782544017,0.769274116,0.760163426
42,0.856564283,0.725487808,5981,4339.142578,0.066687844,0.737352908,5974,0.807930112,0.794633806,0.785485566
43,0.888180673,0.765878857,5980,4579.955566,0.041017826,0.765680671,5972,0.839157087,0.816602618,0.804908079
44,0.874919713,0.760872015,5980,4550.014648,0.03818364,0.761584282,5974,0.820194268,0.808614987,0.800150105
45,0.919107258,0.778038938,5980,4652.672852,0.053408423,0.780969858,5978,0.85905191,0.842515922,0.832683039
40,0.870165288,0.751052731,5981,4492.046387,0.04960032,0.758313179,5976,0.815972745,0.806190491,0.797998548
39,0.861412942,0.754117052,5983,4511.882324,0.043351127,0.757159173,5977,0.821914917,0.806217968,0.796549666
38,0.853753984,0.758289354,5982,4536.086914,0.032648443,0.758684397,5974,0.811194158,0.800231212,0.792595109
37,0.905686677,0.784413746,5981,4691.578613,0.04646184,0.786981046,5975,0.856378853,0.842638254,0.832913399
36,0.883133948,0.764739317,5980,4573.141113,0.052057677,0.77058804,5975,0.832097501,0.821266609,0.813967031
31,0.892647505,0.766347215,5980,4582.756348,0.056097658,0.770053744,5976,0.852247351,0.833146763,0.821437058
32,0.914329708,0.807499118,5980,4828.844727,0.04142516,0.807858706,5972,0.879126003,0.862319773,0.850309056
33,0.887144268,0.728814586,5981,4359.040039,0.062797824,0.736147165,5976,0.814810812,0.801616251,0.792014599
34,0.89929539,0.792866947,5981,4742.137207,0.040105059,0.793044806,5972,0.862484932,0.844517529,0.833534896
35,0.902180612,0.787586067,5983,4712.127441,0.049326998,0.79283905,5973,0.856727177,0.844710207,0.836507326
