id,max,23Mar_Clgr,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,6.562704086,2.032848872,5982,12160.50195,0.673847901,1.934127569,5946,3.257171655,2.887193608,2.693527114
2,6.447536945,1.934655217,5981,11571.17285,0.623386795,1.877776146,5920,2.991057873,2.702310085,2.529493332
3,8.288330078,3.123423129,5980,18678.07031,0.790548073,2.99518919,5979,4.547824192,4.106067228,3.862167859
4,4.269347668,1.557710567,5982,9318.224609,0.479364338,1.508203268,5858,2.398533869,2.160809064,2.00815953
5,6.77093792,2.827841224,5981,16913.31836,0.674761835,2.752300739,5980,4.058351517,3.721201897,3.499130726
10,4.872211456,1.502491941,5981,8986.404297,0.632847756,1.515211105,5509,2.446971178,2.208578825,2.066912651
9,5.127371788,1.845701165,5980,11037.29297,0.617376635,1.810114264,5904,2.902462733,2.625144267,2.45387398
8,6.122200489,1.859507069,5982,11123.57129,0.5921,1.809161425,5934,2.880014002,2.620708561,2.445641792
7,6.56088829,2.657180028,5981,15892.59375,0.667788656,2.648597479,5979,3.816910744,3.494199276,3.300035477
6,5.5485425,2.553050643,5981,15269.7959,0.632451822,2.504299641,5973,3.640391827,3.354580402,3.172645092
11,3.335389614,1.51122361,5980,9037.117188,0.461955412,1.476765037,5807,2.293425798,2.082972026,1.936459672
12,6.601366043,1.958985191,5983,11720.6084,0.726888847,1.891841888,5859,3.249216557,2.795082808,2.566646338
13,4.792844772,1.837257003,5980,10986.79688,0.570024388,1.788537741,5883,2.838684535,2.548001218,2.364005566
14,4.85622406,1.800191982,5981,10766.94824,0.518032835,1.740887403,5949,2.712373495,2.457746983,2.298570395
15,3.662250042,1.990139511,5981,11903.02441,0.443792145,1.956327915,5980,2.76165247,2.582966566,2.456223249
26,5.387202263,2.100740587,5980,12562.42871,0.551621831,2.0486691,5954,3.035771585,2.78896544,2.638993263
28,3.907525539,1.341116938,5982,8022.561523,0.633458944,1.416273475,5245,2.202812374,2.013855219,1.889729989
29,5.128644943,1.651755298,5981,9879.148438,0.722656116,1.651239872,5507,2.778434753,2.514037848,2.36312747
30,4.918795586,2.528345951,5980,15119.50879,0.615072722,2.499424934,5980,3.597783351,3.320933771,3.157243204
25,4.465784073,1.846510014,5980,11042.12988,0.554230383,1.794464111,5913,2.796014321,2.559504342,2.409819794
24,4.274077415,1.265267667,5981,7567.565918,0.63456973,1.261228561,5308,2.315917492,1.986291885,1.805605412
23,3.100069523,1.527781497,5981,9137.661133,0.396261269,1.508429766,5868,2.181759119,2.003037691,1.90587759
22,4.13894558,1.631760679,5982,9761.192383,0.519480208,1.630743861,5777,2.438275206,2.226718092,2.092144287
21,3.928093433,2.145246035,5980,12828.57129,0.406891316,2.110868454,5975,2.844779682,2.660903382,2.550113761
16,5.056621552,1.894287967,5981,11329.73633,0.614419261,1.854881525,5864,2.891009092,2.62804985,2.473973513
17,5.664889812,2.187294434,5981,13082.20801,0.663606723,2.102297068,5962,3.439216137,3.039836407,2.819807291
18,5.814422131,2.353122387,5980,14071.67188,0.703235238,2.333350182,5971,3.591132855,3.268852663,3.05923841
19,7.020393372,3.142049671,5980,18789.45703,0.879080179,2.959990978,5978,4.979278064,4.434059858,3.999133396
20,6.201936722,2.597137104,5980,15530.87988,0.83697411,2.40510273,5978,4.316712809,3.772815943,3.444784141
27,4.306866169,1.310497157,5981,7838.083496,0.743287775,1.353611946,5008,2.499508381,2.19289875,2.015473843
41,3.556986332,1.747684502,5980,10451.15332,0.341118965,1.690792918,5964,2.372627604,2.197570777,2.08361758
42,4.614257336,2.135086085,5982,12772.08496,0.479169234,2.07578373,5976,3.0401407,2.775860667,2.603637576
43,6.770106792,2.674170681,5981,15994.21484,0.724209339,2.515096903,5978,4.128782272,3.587660789,3.305809498
44,4.490352631,2.335405943,5980,13965.72754,0.481666906,2.232490063,5976,3.334055829,3.036024904,2.847226965
45,9.050494194,3.764438754,5980,22511.34375,1.214712581,3.463711023,5978,6.249657512,5.48751092,4.992287683
40,4.865696907,1.995376842,5980,11932.35352,0.682808955,1.992696285,5760,3.070460629,2.790230727,2.632344222
39,5.065915585,2.3780167,5982,14225.2959,0.514363975,2.317656755,5978,3.346773529,3.048855925,2.881419885
38,4.478218079,2.158817375,5981,12911.88672,0.428270026,2.089761972,5978,2.989510059,2.672153711,2.527982473
37,6.437057972,2.539606377,5981,15189.38574,0.732702775,2.380065203,5980,4.089940548,3.51620388,3.203124046
36,4.844017029,2.558339648,5980,15298.87109,0.458891994,2.514427185,5979,3.364759183,3.169095755,3.028870153
31,7.865680695,3.092275851,5982,18497.99414,0.902772299,2.898325682,5981,4.848648858,4.283563614,3.976857901
32,10.2135067,4.105074532,5980,24548.3457,0.927353756,3.912339926,5974,5.877315092,5.253256845,4.898638225
33,6.09579277,2.599288481,5980,15543.74512,0.702959164,2.539893389,5979,3.877230453,3.474559784,3.246871471
34,9.52128315,3.622348817,5982,21668.89063,1.036789944,3.391618252,5982,5.663597798,4.938210583,4.556514716
35,8.725066185,3.387305798,5982,20262.86328,1.018607113,3.191481113,5980,5.341386819,4.730317354,4.351658654
