id,max,23Mar_Clre,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,1.33719945,0.518513671,5982,3101.748779,0.162236568,0.501320422,5943,0.808649951,0.736220157,0.687754989
2,1.178721666,0.502962955,5981,3008.221436,0.152332509,0.494734406,5916,0.759891748,0.691271663,0.65326035
3,1.834169388,0.83556394,5980,4996.672363,0.178225089,0.813152134,5973,1.153512013,1.060398388,1.006063294
4,0.879094005,0.371306547,5982,2221.155762,0.117600879,0.36543566,5853,0.570947427,0.520240891,0.483425248
5,1.339283466,0.714896407,5981,4275.79541,0.150962918,0.702292323,5974,0.985159278,0.917758584,0.874293923
10,1.186151981,0.381448807,5981,2281.445313,0.164819385,0.388492703,5507,0.62893486,0.569820881,0.532255292
9,1.236881256,0.500740791,5980,2994.429932,0.163165707,0.499166429,5901,0.76264872,0.706636095,0.664840901
8,1.49313283,0.493692381,5982,2953.267822,0.1759037,0.484994769,5931,0.792844003,0.71991595,0.669240558
7,1.464504719,0.708012384,5981,4234.62207,0.171750454,0.715127945,5977,0.991053581,0.916248679,0.876324177
6,1.277279377,0.683020075,5981,4085.143066,0.147483018,0.680713892,5973,0.927257419,0.863710165,0.829083681
11,0.804597974,0.385809592,5980,2307.141357,0.122472075,0.381891549,5806,0.582897133,0.536063445,0.507058859
12,1.557498455,0.501346915,5983,2999.558594,0.187096351,0.48173964,5858,0.842362213,0.72491684,0.657168424
13,1.197569847,0.484794571,5980,2899.071533,0.143357382,0.476588845,5884,0.727750725,0.661431193,0.61906392
14,1.011631489,0.461163109,5981,2758.216553,0.128783645,0.450291276,5945,0.686926961,0.630402446,0.591850758
15,0.907415509,0.53339416,5981,3190.230469,0.108497827,0.532975912,5979,0.715049863,0.673244596,0.644734025
26,1.307085991,0.559800531,5980,3347.607178,0.141424141,0.555663645,5946,0.796344751,0.739365625,0.701723707
28,0.84312892,0.301925021,5982,1806.115479,0.151711466,0.317717493,5243,0.525829512,0.475695014,0.441922104
29,0.979916453,0.390117738,5981,2333.294189,0.180554687,0.393338323,5505,0.666172028,0.61520195,0.578432918
30,1.10101223,0.634233986,5980,3792.719238,0.139000031,0.628938675,5975,0.871695584,0.814157617,0.778751552
25,1.029855251,0.439680078,5980,2629.286865,0.13224419,0.436112165,5908,0.66238575,0.605603647,0.571490145
24,1.069992065,0.283108934,5981,1693.274536,0.15590416,0.27594471,5309,0.562812686,0.47778976,0.428355932
23,0.649321079,0.338307023,5981,2023.414307,0.098080952,0.334657192,5864,0.50357008,0.462958932,0.434816599
22,0.847835779,0.37503967,5982,2243.487305,0.120728895,0.378045499,5774,0.555808687,0.516137552,0.487680209
21,0.856947303,0.488251447,5980,2919.743652,0.082402414,0.482771218,5971,0.62845211,0.593283796,0.571767825
16,0.987543344,0.472682538,5981,2827.114258,0.143803839,0.469730377,5860,0.706561685,0.650109887,0.615163684
17,1.107892275,0.537549816,5981,3215.085449,0.147569925,0.527918458,5958,0.795536757,0.735186219,0.691954136
18,1.15930438,0.576255691,5980,3446.009033,0.150593319,0.581806481,5971,0.820812064,0.762282765,0.7265863
19,1.315766335,0.738365924,5980,4415.428223,0.154911768,0.717663527,5976,1.03652178,0.957203829,0.895775479
20,1.251199722,0.593806095,5980,3550.960449,0.147760375,0.573365033,5978,0.871309787,0.79891398,0.754173744
27,1.006367922,0.310762095,5981,1858.668091,0.185513257,0.31911397,5006,0.609455943,0.540312409,0.494452953
41,0.863441348,0.411970035,5980,2463.580811,0.089396716,0.398064911,5966,0.575092113,0.52707274,0.500976139
42,0.895014524,0.505960427,5982,3026.655273,0.104278696,0.494948506,5978,0.699457872,0.648808908,0.615365863
43,1.329137564,0.62466573,5981,3736.125732,0.127318497,0.606094003,5980,0.865817308,0.784159064,0.738103986
44,0.97216022,0.535789342,5980,3204.020264,0.089871897,0.52219981,5968,0.706991357,0.661415517,0.627675635
45,1.872431278,0.91205973,5980,5454.117188,0.213075458,0.873004496,5976,1.331753409,1.202829576,1.125442576
40,1.014205933,0.503912251,5980,3013.395264,0.164441444,0.516979516,5760,0.741126925,0.691603148,0.657004505
39,1.046305418,0.570614145,5982,3413.413818,0.101984518,0.560606539,5974,0.746868402,0.705837214,0.675505388
38,0.91580081,0.514247306,5981,3075.713135,0.084185791,0.504842043,5972,0.670799613,0.621217251,0.593257546
37,1.380420446,0.621897606,5981,3719.56958,0.150204245,0.594754219,5976,0.914353848,0.825478196,0.767086864
36,1.035449743,0.626724539,5980,3747.812744,0.098997997,0.620090246,5974,0.795302808,0.755732667,0.729874808
31,1.526745319,0.749278761,5982,4482.185547,0.161163686,0.733937263,5978,1.056068838,0.950852346,0.897161692
32,1.970867157,1.070435795,5980,6401.206055,0.157130142,1.05117631,5972,1.343513525,1.268406081,1.215396011
33,1.165581465,0.63171252,5980,3777.640869,0.149150549,0.631065547,5977,0.87910412,0.819344687,0.779717654
34,1.793226242,0.922128772,5982,5516.174316,0.184633652,0.8933568,5977,1.273582041,1.163221788,1.101808178
35,1.751537085,0.869775097,5982,5202.994629,0.207628549,0.845908463,5978,1.255404758,1.144765759,1.073656118
