id,max,23Mar_NDVI,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,0.861192882,0.587882381,5982,3516.712402,0.115719381,0.600386977,5948,0.754263666,0.723842323,0.701628169
2,0.842375219,0.588612883,5981,3520.493652,0.109332401,0.603939176,5920,0.7278862,0.704119265,0.686620533
3,0.893175542,0.724157837,5980,4330.463867,0.054907244,0.730030894,5975,0.806966394,0.789371723,0.777234086
4,0.771890819,0.502044953,5982,3003.23291,0.125921906,0.514110625,5853,0.669545484,0.645497638,0.628025445
5,0.837728441,0.697276238,5981,4170.40918,0.068031625,0.70883894,5975,0.78839916,0.774445355,0.763429999
10,0.812716067,0.477461955,5981,2855.699951,0.174877313,0.508969188,5509,0.684108853,0.656792879,0.635973334
9,0.806151927,0.572319516,5980,3422.470703,0.119544977,0.593260169,5899,0.721110874,0.698580134,0.682277754
8,0.800153852,0.567727066,5982,3396.143311,0.110365058,0.585126519,5930,0.710772434,0.687160462,0.670725679
7,0.850405812,0.677607141,5981,4052.768311,0.073404947,0.691949666,5978,0.772616148,0.757954121,0.746532261
6,0.838819921,0.658877053,5981,3940.743652,0.077496199,0.668043733,5973,0.76371187,0.747905791,0.735157132
11,0.744488776,0.499567283,5980,2987.412354,0.137858771,0.51202929,5807,0.677254766,0.653960633,0.638026467
12,0.868853509,0.568864591,5983,3403.516846,0.134495871,0.591410339,5857,0.736894435,0.707258642,0.686418056
13,0.808987081,0.556984014,5980,3330.764404,0.121011282,0.570383787,5883,0.715555525,0.691468078,0.673304927
14,0.807602584,0.552076244,5981,3301.968018,0.099937481,0.564862132,5953,0.693698764,0.667434931,0.648684323
15,0.765478969,0.598983328,5981,3582.519287,0.082473481,0.609224021,5978,0.713395655,0.696557641,0.682902336
26,0.842179596,0.608383863,5980,3638.135498,0.101105541,0.624761701,5952,0.739822918,0.719899005,0.704322806
28,0.80945909,0.451437973,5982,2700.501953,0.196018424,0.50128448,5248,0.670178786,0.639302677,0.620981669
29,0.828416824,0.500746137,5981,2994.962646,0.191203569,0.531090558,5505,0.73030138,0.707846403,0.686668217
30,0.843518913,0.675134726,5980,4037.305664,0.0893332,0.695107698,5976,0.78024013,0.765506792,0.754402193
25,0.822042346,0.578772993,5980,3461.0625,0.126239621,0.60629046,5913,0.734430113,0.712397432,0.697134078
24,0.827465773,0.416235315,5981,2489.503418,0.176290284,0.439080477,5311,0.645846844,0.60085547,0.575591564
23,0.756894648,0.501199844,5981,2997.67627,0.121352822,0.503641963,5870,0.679881871,0.655051172,0.63008219
22,0.790384173,0.515791719,5982,3085.466064,0.142587107,0.534876704,5773,0.694766372,0.671085292,0.650644347
21,0.790271044,0.661654612,5980,3956.69458,0.057483658,0.67124176,5975,0.739036414,0.725946689,0.71645976
16,0.824590981,0.581979491,5981,3480.819336,0.138209891,0.615549982,5865,0.741671324,0.72151047,0.706533074
17,0.83337009,0.621882176,5981,3719.477295,0.104722034,0.641618192,5958,0.753533006,0.733975828,0.720487535
18,0.86494869,0.658011119,5980,3934.906494,0.106355503,0.685326934,5972,0.784950754,0.769687158,0.756442237
19,0.878645897,0.745133518,5980,4455.898438,0.053689482,0.747332394,5976,0.833106592,0.811199743,0.796182656
20,0.873361647,0.691917557,5980,4137.666992,0.075624876,0.694880605,5979,0.80726651,0.785804713,0.769770008
27,0.792578697,0.437219734,5981,2615.01123,0.220482612,0.491398782,5009,0.694309711,0.664028227,0.640851915
41,0.770342112,0.54703312,5980,3271.258057,0.07991164,0.553325772,5971,0.662967631,0.644319618,0.631324753
42,0.797818303,0.61590215,5982,3684.32666,0.077679557,0.62394619,5975,0.727022415,0.708228445,0.6953565
43,0.881383598,0.709269702,5981,4242.14209,0.060018749,0.710763037,5975,0.809481204,0.784053743,0.767952323
44,0.811127186,0.676961372,5980,4048.229004,0.048592121,0.679086566,5978,0.755409306,0.737577033,0.725598699
45,0.914512038,0.769371375,5980,4600.84082,0.056987388,0.769538283,5974,0.865482768,0.845564806,0.829901901
40,0.801239669,0.575895196,5980,3443.853271,0.150474074,0.615047395,5759,0.72670384,0.710684204,0.697301674
39,0.804009378,0.666573369,5982,3987.441895,0.05725074,0.674337506,5978,0.749427289,0.736830628,0.726975083
38,0.804402888,0.638503781,5981,3818.891113,0.054463646,0.639321625,5970,0.72756803,0.705736458,0.691506147
37,0.881005704,0.68349313,5981,4087.972412,0.071600766,0.683771849,5979,0.800625026,0.773735404,0.756112158
36,0.833037794,0.700137911,5980,4186.824707,0.050286206,0.703278661,5973,0.775244382,0.762449527,0.752024871
31,0.884807885,0.721385511,5982,4315.328125,0.066190917,0.725033283,5977,0.832069796,0.808335441,0.788662422
32,0.915466428,0.783349283,5980,4684.428711,0.036017217,0.780639291,5975,0.848860499,0.830472201,0.819104496
33,0.856031358,0.684423746,5980,4092.854004,0.072581446,0.695383966,5978,0.784401348,0.768415684,0.754683366
34,0.909048259,0.757052979,5982,4528.690918,0.045216584,0.755063117,5977,0.834813574,0.816780603,0.804432768
35,0.907238305,0.742136158,5982,4439.458496,0.056969553,0.747991383,5977,0.824171641,0.806953895,0.795881042
