id,max,30Mar_NDWI,count,sum,std,median,unique,percentile_95,percentile_90,percentile_85
1,0,-0.441651161,6023,-2660.064941,0.133656808,-0.462925136,5683,0,-0.335002518,-0.359059724
2,0,-0.412776525,6022,-2485.740234,0.123334795,-0.430519998,5720,-0.003087192,-0.30552339,-0.336795843
3,-0.350725353,-0.547179507,6022,-3295.11499,0.058310286,-0.54685998,6020,-0.451212439,-0.474244606,-0.487829576
4,0,-0.37637542,6020,-2265.780029,0.125023195,-0.401129365,5551,0,-0.282855305,-0.319382533
5,-0.29018271,-0.540943068,6023,-3258.100098,0.064904532,-0.538688898,6022,-0.438981515,-0.463083631,-0.477304453
10,0,-0.35097246,6022,-2113.556152,0.17424308,-0.404993743,4974,0,0,0
9,0,-0.443530946,6022,-2670.943359,0.112519152,-0.453664511,5850,-0.291456376,-0.335778335,-0.357483995
8,0,-0.38779622,6022,-2335.308838,0.154431002,-0.41433841,5445,0,-0.17695279,-0.284964654
7,-0.295868009,-0.540700658,6022,-3256.099365,0.071500312,-0.540132284,6016,-0.423624282,-0.44874815,-0.467521283
6,0,-0.533124948,6021,-3209.945313,0.07069089,-0.534695387,6012,-0.417819321,-0.444086939,-0.462285727
11,0,-0.34200319,6022,-2059.543213,0.151549039,-0.382597983,5141,0,0,-0.26430297
12,0,-0.469420242,6023,-2827.318115,0.099444456,-0.465600848,5941,-0.346484184,-0.375715381,-0.393283898
13,0,-0.41161931,6022,-2478.771484,0.149649587,-0.44020766,5501,0,-0.26614196,-0.330608539
14,0,-0.417313856,6021,-2512.646729,0.126117948,-0.431570023,5702,0,-0.314593703,-0.341493219
15,0,-0.454305979,6023,-2736.284912,0.066022878,-0.453827828,6007,-0.355549043,-0.375034368,-0.389201137
26,0,-0.39893401,6023,-2402.779541,0.119387292,-0.414880395,5662,0,-0.319867742,-0.338621163
28,0,-0.326790335,6022,-1967.931396,0.162698096,-0.374091446,4957,0,0,0
29,0,-0.383351863,6022,-2308.544922,0.170185706,-0.425490618,5193,0,0,-0.283975601
30,0,-0.533984967,6022,-3215.657471,0.072263621,-0.539226532,5998,-0.421875438,-0.446489978,-0.465118821
25,0,-0.423947438,6022,-2553.011475,0.101049262,-0.432255208,5833,-0.311544324,-0.344653279,-0.358880481
24,0,-0.308655839,6022,-1858.725464,0.174459036,-0.36067611,4700,0,0,0
23,0,-0.375559431,6022,-2261.618896,0.104445048,-0.390697539,5687,0,-0.320320511,-0.332888374
22,0,-0.381464497,6022,-2297.179199,0.118833207,-0.399724424,5603,0,-0.310668075,-0.334194922
21,-0.293567598,-0.45700356,6022,-2752.075439,0.053126168,-0.457348287,6018,-0.37325539,-0.387639615,-0.399551186
16,0,-0.357202906,6023,-2151.433105,0.148943696,-0.390743583,5259,0,0,-0.304828629
17,0,-0.416548664,6022,-2508.456055,0.129984216,-0.436666816,5675,0,-0.307399371,-0.33929366
18,0,-0.494806032,6022,-2979.721924,0.087357533,-0.502304912,5985,-0.361699767,-0.385941029,-0.40641939
19,-0.270925254,-0.53777001,6023,-3238.98877,0.089340997,-0.538674593,6017,-0.387428576,-0.417677689,-0.437949246
20,0,-0.469788875,6022,-2829.068604,0.103574935,-0.458491623,5982,-0.328611366,-0.356844574,-0.37594333
27,0,-0.284701633,6023,-1714.757935,0.188355707,-0.356247991,4337,0,0,0
41,0,-0.33582443,6022,-2022.334717,0.133003717,-0.367980123,5297,0,0,-0.301180901
42,0,-0.40943672,6022,-2465.62793,0.097323541,-0.418059886,5829,-0.295882043,-0.332223514,-0.34898003
43,0,-0.48368016,6022,-2912.721924,0.078409789,-0.481348872,6017,-0.362729457,-0.385013378,-0.399522707
44,-0.306408703,-0.472780855,6021,-2846.613525,0.060704196,-0.469291449,6018,-0.379368693,-0.395761818,-0.407599539
45,0,-0.530595864,6022,-3195.248291,0.10805179,-0.537916064,5973,-0.358666165,-0.398015201,-0.424620676
40,0,-0.386216239,6022,-2325.794189,0.117972577,-0.403566301,5640,0,-0.307722411,-0.331932597
39,0,-0.448374272,6022,-2700.109863,0.066372089,-0.447193861,6015,-0.343108568,-0.364439487,-0.379904258
38,-0.243953764,-0.424844094,6022,-2558.411133,0.054175726,-0.423143029,6021,-0.339447246,-0.357095948,-0.369284005
37,0,-0.482217789,6022,-2903.915527,0.082919597,-0.4812271,6018,-0.355966507,-0.377652612,-0.393669786
36,0,-0.465899409,6022,-2805.64624,0.053278754,-0.464084446,6019,-0.384462288,-0.402332929,-0.413854356
31,-0.414375871,-0.593426195,6022,-3573.612549,0.055831853,-0.594400942,5985,-0.504227555,-0.523007178,-0.534259301
32,-0.459061712,-0.643132154,6023,-3873.584961,0.047166382,-0.64015907,6018,-0.571135014,-0.586433113,-0.596139032
33,0,-0.466087359,6022,-2806.778076,0.087104197,-0.471843362,5991,-0.327009313,-0.359223217,-0.380314441
34,-0.239816964,-0.58021552,6022,-3494.057861,0.074083486,-0.576932192,6019,-0.465032996,-0.489311463,-0.507091826
35,-0.216817901,-0.573405313,6021,-3452.473389,0.072977706,-0.575912356,6018,-0.449715167,-0.480565161,-0.500982106
