,Model,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Adj_R2_train,Adj_R2_test
0,CatBoost Regression,0.00934232844257902,2.181615416544993,0.0001317467946503101,7.070386525105534,0.011478100655174187,2.6590198429318903,0.9999864163002422,0.3092494167970713,0.9999735872504709,1.6140005184026034
1,Decision Tree Regression,0.0,1.6444444444444444,0.0,4.411111111111111,0.0,2.100264533603115,1.0,0.5690507779519962,1.0,1.383065975153781
2,ElasticNet Regression,1.7567665099802117,2.5816786960516,4.643236762007415,8.671782766800986,2.1548171063938155,2.9447890869807614,0.5212609593531135,0.15279893364988573,0.06911853207549834,1.753067614533435
3,Gradient Boosting Regression,0.03940411208858144,1.631396960571988,0.002412153594267683,3.8991260927224696,0.04911368031686979,1.9746204933410545,0.9997512958832809,0.6190698184651791,0.9995164086619351,1.3386046058087298
4,Huber Regression,0.8516580093061513,4.178132644076634,1.9717321604622557,29.186412772138404,1.4041838057968963,5.402445073495741,0.7967053563505522,-1.8514044560887832,0.6047048595705181,3.534581738745585
5,K-Nearest Neighbors Regression (KNN),1.8888888888888884,2.9555555555555553,5.909622222222221,11.332177777777776,2.4309714564803553,3.3663300161715837,0.39069080077901275,-0.10711180798456121,-0.18476788737414207,1.9840993848751656
6,Lasso Regression,1.7367241768906143,2.5596446566964546,4.438051052062715,8.568413499973598,2.106668234929913,2.9271852520764035,0.542416548647446,0.162897728262138,0.11025440014781174,1.7440909082114329
7,Linear Regression,0.9576715054653386,3.3804509956030278,1.4233926763627267,17.454885548786667,1.19306021489392,4.177904444669201,0.8532416761683521,-0.7052776859868772,0.7146365925495736,2.515802387543891
8,M-estimators,0.8516580093061513,4.178132644076634,1.9717321604622557,29.186412772138404,1.4041838057968963,5.402445073495741,0.7967053563505522,-1.8514044560887832,0.6047048595705181,3.534581738745585
9,Passive Aggressive Regression,1.2942907286030652,3.265540320284376,2.5588246231950267,17.991051431935784,1.5996326525784057,4.241585957155151,0.736173426409036,-0.7576591074500039,0.48700388468423683,2.5623636510666703
10,Random Forest (RF) Regression,0.7384722222222222,1.9848888888888903,0.8798723055555536,6.205570666666673,0.9380150881278796,2.491098285228159,0.9092811232672702,0.3937387239175004,0.8236021841308031,1.538898912073333
11,Ridge Regression,1.1975488339552944,2.6430719656237116,1.916152022088246,12.059575658212108,1.3842514302279936,3.472689974387594,0.8024359239455354,-0.17817588748664903,0.6158476298940967,2.047267455543688
12,Support Vector Regression (SVR),1.6304615437242735,2.5589349471244875,5.429631967709415,8.354432622901975,2.330157069321597,2.8904035398023535,0.4401800010380945,0.18380286762144504,-0.08853888687037159,1.7255085621142712
13,XGBoost Regression,0.0005964438120523595,1.9194069968329535,4.992411459169193e-07,5.5694442780209465,0.0007065699865667373,2.3599670078246744,0.9999999485259444,0.45588591663285905,0.9999998999115586,1.483656962993014
