,MAE,MSE,RMSE,R2
CatBoost,1.6310035509701784,3.765063844571479,1.9403772428503379,0.6321672037024608
Decision Tree,1.7666666666666666,4.832222222222222,2.1982316125063397,0.5279097816909903
ElasticNet,3.2347015963482226,12.995072187100785,3.6048678459966856,-0.2695704343929122
Gradient Boosting,1.3971335432976384,2.7546804261882296,1.6597229968245393,0.7308779224203997
Huber,1.642680849700769,4.557992010348919,2.134945434981634,0.5547010579685655
KNN,3.222222222222223,12.399288888888892,3.521262399891393,-0.21136461223012915
Lasso Regression,3.2309080843710434,12.933151038387829,3.5962690442162177,-0.263520967445922
Linear Regression,1.7634774926822747,5.069657566558012,2.25159000854019,0.5047132277274164
M-estimators,3.116219253577041,14.527822355496532,3.8115380564145664,-0.41931445036210224
Passive Aggressive,3.6405130707959787,16.689309200362587,4.0852550961185505,-0.6304837115298147
Random Forest,1.7355555555555564,4.119304888888891,2.029607077463244,0.5975591653600287
Ridge Regression,2.9522637379161463,10.763546750128405,3.2807844717579977,-0.05155866211603022
SVR,3.2062169521650734,12.463163969006944,3.5303206609325084,-0.2176049710403598
XGBoost,1.4460699240366617,2.642071403850056,1.6254449864114306,0.7418794069329941
