index,simple_voting,weighted_voting
30,6.1507163563838025,5.450843021984917
116,7.1399816197461705,7.1508201723587215
79,9.231150046829612,9.832486611304784
127,8.266765636365156,8.802110774661804
196,6.40518536145689,6.147654893447731
137,9.601131943970511,10.979399181965835
209,7.9585946660558236,8.418097421251078
45,6.917482919785002,6.752274992421169
158,8.414950251610174,8.825266571171547
247,10.327120907412331,12.033547152067316
183,6.192036612242158,5.692876463995205
268,6.425441411470005,5.893800229001699
227,7.442556951303213,7.609163178957148
82,6.90422604726575,6.434417105760081
165,7.199483635788485,6.697015712336201
194,9.275052438826947,10.403686675629032
226,9.264582268377556,9.73235031441156
146,7.478343895918378,7.402138251652639
104,10.05570271084218,11.595414755394863
60,5.013553555789095,3.9072390544904554
221,5.871982931914426,5.061293872228431
266,8.249163708496509,6.690668242300394
46,9.459342641642321,10.68793316671521
42,7.947966738420265,8.574905209119283
185,7.7347175330778155,7.421120500525996
9,6.95636628449,6.843150903762908
22,4.610359560876114,3.349477738033719
199,6.4984771429614705,6.113981533390518
109,5.081471338231635,4.170854634541833
24,5.637630095846751,4.544074563894861
113,7.614424633769858,7.743191726091053
68,5.942285158757415,5.125269575475116
144,7.921771078859292,8.480360997959776
224,6.470858094634843,6.318005656591028
252,9.839221462483485,10.061325400138797
6,9.77199060328896,10.652174159493075
120,12.154421295427172,15.08433438358771
67,6.688590952377804,6.537691743299936
119,6.6325775990646045,6.296179923356888
118,6.798972238078106,6.322597894433912
25,6.201034685516453,5.677327185139511
125,12.370007554535063,14.975375765732664
244,9.486893350300488,10.140218855931558
19,3.949964903499011,2.657916232395541
77,6.571529078912208,6.13100047333307
216,7.828803310071478,8.133976138017331
90,6.254061750231517,5.72258928255122
208,7.334094257920001,7.425193495201
93,7.918467113140985,8.35395755277744
180,7.454234937754756,7.460012165874151
15,6.2323854071293345,5.643136865317486
152,9.775953147108206,11.163202830041154
232,5.844585703069905,5.203083492332119
250,8.380030249484529,8.912627934999783
