Model,MAE,MSE,RMSE,R2
CatBoost,0.7213315331391015,1.5405534848190814,1.2411903499540597,0.7802317071373398
Decision Tree,0.9870370370370369,4.735048148148148,2.1760165780958904,0.32451975319556936
ElasticNet,0.8780621129157882,1.4312689601536615,1.1963565355501935,0.7958217360838825
Gradient Boosting,0.7317500489710403,1.653480062573372,1.2858771568751706,0.7641221196050397
Huber,0.27932541663995153,0.5171763470411612,0.7191497389564716,0.9262219948750884
KNN,1.0671111111111111,1.910846518518519,1.3823337218336675,0.7274074016672718
Lasso Regression,1.0929562996602586,2.027034928318084,1.4237397684682704,0.7108324961390315
Linear Regression,0.4723900877134728,0.6722177759738466,0.8198888802599085,0.9041044958753537
M-estimators,0.3441782983286693,0.5470971293257287,0.7396601444756428,0.9219536333358154
Passive Aggressive,0.9343432882350008,1.6667850891926326,1.2910403127682082,0.762224085544281
Random Forest,0.5979407407407403,1.2561459718518535,1.120779180682731,0.8208039782191601
Ridge Regression,0.4567083098252977,0.6230569728778858,0.7893395802047973,0.911117550520078
SVR,0.7270654608017777,1.4381917925142491,1.1992463435484175,0.7948341565777809
XGBoost,0.8296841381214285,2.203648252667304,1.4844690137107288,0.6856376495001397
