Plot,Model,Actual Harvesting,Predict,Error,Accuracy
1,,"1,314.44",,,
1,Breeder,,503.19,0.62,0.38
1,Huber,,986.23,0.25,0.75
1,M-estimators,,991.44,0.25,0.75
1,Linear Regression,,998.47,0.24,0.76
1,Ridge Regression,,999.03,0.24,0.76
1,PEnsemble 1,,990.3,0.25,0.75
1,PEnsemble 2,,990.5,0.25,0.75
1,PEnsemble 3,,990.61,0.25,0.75
1,PEnsemble 4,,988.31,0.25,0.75
2,,236.92,,,
2,Breeder,,332.87,0.4,0.6
2,Huber,,258.2,0.09,0.91
2,M-estimators,,259.58,0.1,0.9
2,Linear Regression,,262.01,0.11,0.89
2,Ridge Regression,,263.05,0.11,0.89
2,PEnsemble 1,,259.48,0.1,0.9
2,PEnsemble 2,,259.45,0.1,0.9
2,PEnsemble 3,,259.65,0.1,0.9
2,PEnsemble 4,,258.75,0.09,0.91
3,,387.82,,,
3,Breeder,,342.67,0.12,0.88
3,Huber,,345.22,0.11,0.89
3,M-estimators,,346.97,0.11,0.89
3,Linear Regression,,348.57,0.1,0.9
3,Ridge Regression,,348.01,0.1,0.9
3,PEnsemble 1,,346.36,0.11,0.89
3,PEnsemble 2,,346.5,0.11,0.89
3,PEnsemble 3,,346.39,0.11,0.89
3,PEnsemble 4,,345.92,0.11,0.89
